Internal catalogue id,Name (transliteration),Alternative names,Language,Script,Provenance note,External catalogue ids,Condition,Lines per folio/page,Length (cm),Height (cm),Date of copying,Material,Illustrations,Remarks,Photos available?,Text available?
ochs_000_005_188_asa_dp_no_5160_svasthani,svasthānī vrata kathā,svasthānī vrata kathā,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 5160, cd_no: ASK_BL-114, ask_no: hama 0.77",NA,9,39.0,12.0,NS964,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_189_asa_dp_no_5161_svasthani,svasthānī vrata kathā,svasthānī vrata kathā,Newa,Newa,ASA Archives,"dp_no: 5161, cd_no: ASK_BL-114, ask_no: hama 0.80",NA,7,44.5,11.0,NS977,"Paper, coat of HARTALA on back side",figure on 1b ( damaged ),NA,yes,no
ochs_000_005_190_asa_dp_no_5162_svasthani,svasthānī *,svasthānī *,Newa,Devanagari,ASA Archives,"dp_no: 5162, cd_no: ASK_BL-114, ask_no: hama 0.91",NA,NA,13.0,25.5,NA,Paper,NA,NA,yes,no
ochs_000_005_191_asa_dp_no_5163_svasthani,svasthānī vrata kathā,svasthānī vrata kathā,Newa,Devanagari,ASA Archives,"dp_no: 5163, cd_no: ASK_BL-114, ask_no: hama 0.110",NA,9,39.4,14.5,VS1915/1916,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_192_asa_dp_no_5164_svasthani,svāsthānī vrata kathā,svāsthānī vrata kathā,Newa,Devanagari,ASA Archives,"dp_no: 5164, cd_no: ASK_BL-114, ask_no: hama 0.111",NA,9,36.3,14.8,VS1927,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_193_asa_dp_no_5165_svasthani,svasthānī vrata kathā,svasthānī vrata kathā,Newa,Newa,ASA Archives,"dp_no: 5165, cd_no: ASK_BL-114, ask_no: hama 0.112",NA,11,37.2,15.6,NS953,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_194_asa_dp_no_5166_svasthani,svasthānī vrata mahātmya,svasthānī vrata mahātmya,Newa,Newa,ASA Archives,"dp_no: 5166, cd_no: ASK_BL-115, ask_no: hama 0.116",NA,8,37.2,12.4,NS961,"Paper, coat of HARTALA on back side","figure on wooden cover, scribe; daCamI nArAM ( ? )",NA,yes,no
ochs_000_005_195_asa_dp_no_5167_svasthani,svasthānī dharma vrata kathā,"(1) svasthānī dharma vrata kathā , (2) śivarātrī vrata kathā",Newa,Devanagari,ASA Archives,"dp_no: 5167, cd_no: ASK_BL-115, ask_no: hama 0.120",NA,27,33.5,25.0,VS1984,Paper,NA,Style: banded,yes,no
ochs_000_005_196_asa_dp_no_5168_mahabharata,mahābhārata sabhāparva,mahābhārata sabhāparva,Newa,Newa,ASA Archives,"dp_no: 5168, cd_no: ASK_BL-115, ask_no: hama 0.126",NA,10,37.5,13.5,NS943,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_197_asa_dp_no_5169_skandapurana,skandapurāṇa,skandapurāṇa ( himavat khaṇḍa ),Newa,Newa-Devanagari,ASA Archives,"dp_no: 5169, cd_no: ASK_BL-115, ask_no: hama 0.127","ff.241(1)ff.5(1b-5b) not written completely,(2)ff.236(127a-362b) missing ff.1 -126.363-",9/10,40.8,10.6,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_198_asa_dp_no_5170_nepal,nepāl tīrtha snāna dina tithi vāra,nepāl tīrtha snāna dina tithi vāra,Newa,Devanagari,ASA Archives,"dp_no: 5170, cd_no: ASK_BL-115, ask_no: hama 0.131",NA,NA,,,NA,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_199_asa_dp_no_5171_lanka,laṅkā kāṇḍa rāmāyaṇa,laṅkā kāṇḍa rāmāyaṇa,Newa,Newa,ASA Archives,"dp_no: 5171, cd_no: ASK_BL-115, ask_no: hama 0.139",NA,7,35.5,9.5,NA,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_200_asa_dp_no_5172_mahakala,mahākāla saṃhitā,mahākāla saṃhitā,Sanskrit,Newa,ASA Archives,"dp_no: 5172, cd_no: ASK_BL-115, ask_no: hadaA 22","ff.283(1)ff.59(1b-59a),(2)ff.154(13a-176a) missing ff.1-12.110-119,incomplete,(2)ff.154(13a-176a) missing ff.1-12.110-119,",7,38.5,9.0,NS905,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_201_asa_dp_no_5173_sankhyayanatantre,sāṅkhyāyanatantre vagalā mantrarāja kathana,sāṅkhyāyanatantre vagalā mantrarāja kathana,Sanskrit,Newa,ASA Archives,"dp_no: 5173, cd_no: ASK_BL-115, ask_no: hataA 1",NA,9,47.0,11.8,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_202_asa_dp_no_5174_tantra,tantra sāra,"tantra sāra ( (1) chinnamastā prakaraṇa , (2) garuḍatantre devīśvara samvāde hanumat kalpa )",Sanskrit,Devanagari,ASA Archives,"dp_no: 5174, cd_no: ASK_BL-115, ask_no: hataA 16",NA,13/14,36.8,14.8,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_203_asa_dp_no_5175_sribhagavata,śrībhāgavata mahāpurāṇe dvādaśaskandha,śrībhāgavata mahāpurāṇe dvādaśaskandha,Sanskrit,Devanagari,ASA Archives,"dp_no: 5175, cd_no: ASK_BL-115, ask_no: hamaA 4",NA,12,37.5,15.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_204_asa_dp_no_5176_srikalika,śrīkālikā purāṇa,śrīkālikā purāṇa,Sanskrit,Devanagari,ASA Archives,"dp_no: 5176, cd_no: ASK_BL-115, ask_no: hamaA 15",NA,11/12,37.8,15.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_205_asa_dp_no_5177_garuda,garuḍa purāṇa,garuḍa purāṇa,Sanskrit,Newa,ASA Archives,"dp_no: 5177, cd_no: ASK_BL-116, ask_no: hamaA 16",NA,7,52.3,10.8,NS809,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_206_asa_dp_no_5178_vasundhara,vasundhārā dhāraṇī kalpa,vasundhārā dhāraṇī kalpa,Sanskrit,Newa,ASA Archives,"dp_no: 5178, cd_no: ASK_BL-116, ask_no: badhA 082",NA,5,36.2,6.2,NS1045?,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_207_asa_dp_no_5179_dharani,dhāraṇī pucaḥ,dhāraṇī pucaḥ,Sanskrit,Newa,ASA Archives,"dp_no: 5179, cd_no: ASK_BL-116, ask_no: badhA 056",NA,7,53.3,10,NA,"Paper, coat of HARTALA",NA,NA,yes,no
ochs_000_005_208_asa_dp_no_5180_kala,kāla bhairaba bali,kāla bhairaba bali,Sanskrit,Newa,ASA Archives,"dp_no: 5180, cd_no: ASK_BL-116, ask_no: babi 016",NA,6,31,4.7,NA,TP,NA,NA,yes,no
