Internal catalogue id,Name (transliteration),Alternative names,Language,Script,Provenance note,External catalogue ids,Condition,Lines per folio/page,Length (cm),Height (cm),Date of copying,Material,Illustrations,Remarks,Photos available?,Text available?
ochs_000_000_327_asa_dp_no_0299_siddhilaksmi,siddhilakṣmī pūjā vidhi,siddhilakṣmī pūjā vidhi,Newa,Newa,ASA Archives,"dp_no: 0299, cd_no: ASK_BL-006, ask_no: habi 304",NA,6 lines,15.5,6.4,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_328_asa_dp_no_0300_siddhilaksmi,siddhilakṣmī stotra,"(1) siddhilakṣmī stotra , (2) siddhilakṣmī pūjā vidhi , (3) ( siddhilakṣmī ) nirvāṇa cakra , (4) paJca bali",Newa,Newa,ASA Archives,"dp_no: 0300, cd_no: ASK_BL-006, ask_no: habi 305",NA,7 lines,21.0,8.5,NS781,"Paper, coat of HARTALA on front side & back side",figure of siddhilakSmI cakra,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_329_asa_dp_no_0301_sinduralohana,sindūrālohaṇa kalaśārcana voya,"(1) sindūrālohaṇa kalaśārcana voya (?) vidhi , (2) kaumarī pūjā , (3) sindūrāvarohana vidhi",Sanskrit,Newa,ASA Archives,"dp_no: 0301, cd_no: ASK_BL-006, ask_no: habi 306",NA,24 lines,8.5,21.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_330_asa_dp_no_0302_kasta,kastā biyegu vidhi *,kastā biyegu vidhi *,Newa,Newa,ASA Archives,"dp_no: 0302, cd_no: ASK_BL-006, ask_no: habi 307",NA,7 lines,19.8,9.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_331_asa_dp_no_0303_surya,sūrya lavana dāna,"(1) sūrya lavana dāna , (2) paJca lokapālārcana vidhi , (3) cilaṃjīvyārcana vidhi",Sanskrit,Newa,ASA Archives,"dp_no: 0303, cd_no: ASK_BL-006, ask_no: habi 308",NA,"17, 18 or 5, 6 lines",13.8,5.3,NA,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_332_asa_dp_no_0304_sandhya,sandhyā karma,sandhyā karma ( or sūryārgha sandhyā karma ),Sanskrit-Newa,Newa-Devanagari,ASA Archives,"dp_no: 0304, cd_no: ASK_BL-006, ask_no: habi 309",NA,4 or 8 lines,16.7,6.5,NA,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_333_asa_dp_no_0305_soma,soma devatārcana,soma devatārcana,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0305, cd_no: ASK_BL-006, ask_no: habi 310",NA,5 lines,13.0,6.2,NA,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_334_asa_dp_no_0306_purnima,pūrṇimā vrata vidhāna,"(1) pūrṇimā vrata vidhāna ( or soma vrata vidhi ) , (2) skanda purāṇe candra ṣoḍaśa nāma stotra , (3) brahma vaivarttaka purāṇe dakṣiṇa khaṇḍe candra kavaca",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0306, cd_no: ASK_BL-006, ask_no: habi 311",NA,4 or 7 lines,21.0,9.4,"NS973(1), NS1003(3)","Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_335_asa_dp_no_0307_sankranti,sankrānti pūjā vidhi,sankrānti pūjā vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0307, cd_no: ASK_BL-006, ask_no: habi 312",NA,6 lines,21.0,8.3,NS903,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_336_asa_dp_no_0308_sankranti,sankrānti pūjā vidhi and niraJjana,sankrānti pūjā vidhi and niraJjana,Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0308, cd_no: ASK_BL-006, ask_no: habi 313",NA,5 lines,18.4,7.3,SS1997,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_337_asa_dp_no_0309_sampyake,saṃpyāke vidhi,"(1) saṃpyāke vidhi , (2) keśa bandhana vidhi , (3) śivokta mahātantre sūryasya stotra",Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0309, cd_no: ASK_BL-006, ask_no: habi 314",NA,8 lines,17.2,8.5,VS1887(2)(3),Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_338_asa_dp_no_0310_samksepa,saṃkṣepa prātaḥ kriyā vidhi,"(1) saṃkṣepa prātaḥ kriyā vidhi , (2) gaṅgā jala snāna vidhi",Newa,Newa,ASA Archives,"dp_no: 0310, cd_no: ASK_BL-006, ask_no: habi 315",NA,5 lines,16.3,6.7,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_339_asa_dp_no_0311_samksepa,saṃkṣepa pārthiva pūjā vidhi and kaumarī mantra,saṃkṣepa pārthiva pūjā vidhi and kaumarī mantra,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0311, cd_no: ASK_BL-006, ask_no: habi 316",NA,5 lines,15.0,5.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_340_asa_dp_no_0312_samksipta,saṃkṣipta pradoṣa vrata pūjā paddhati,saṃkṣipta pradoṣa vrata pūjā paddhati,Sanskrit,Newa,ASA Archives,"dp_no: 0312, cd_no: ASK_BL-006, ask_no: habi 317",NA,5 lines,18.9,7.9,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_341_asa_dp_no_0313_samksipta,saṃkṣipta bhīmasena pūjā and bhīmasena stotra,saṃkṣipta bhīmasena pūjā and bhīmasena stotra,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0313, cd_no: ASK_BL-006, ask_no: habi 318",NA,8 lines,16.7,10.5,NS1052,Paper,NA,Style: banded,yes,no
ochs_000_000_342_asa_dp_no_0314_svalpa,svalpa durgārcana vidhi,"(1) svalpa durgārcana vidhi , (2) nityārcana vidhi",Sanskrit,Devanagari,ASA Archives,"dp_no: 0314, cd_no: ASK_BL-006, ask_no: habi 319",NA,5 lines(1) 6 lines(2),13.5,6.1,NS774(1),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_343_asa_dp_no_0315_svalpa,svalpa nityārcana vidhi,"(1) svalpa nityārcana vidhi , (2) siddhilakṣmī pūjā vidhi , (3) prabhātika vidhi (4) siddhilakṣmī stotra",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0315, cd_no: ASK_BL-006, ask_no: habi 320",NA,5 lines,13.5,5.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_344_asa_dp_no_0316_sodsa,ṣoḍśa prakāreṇa viṣṇu pūjā vidhi,"(1) ṣoḍśa prakāreṇa viṣṇu pūjā vidhi , (2) agastyayā śirasi viśeṣa , (3) lakṣmī pūjā",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0316, cd_no: ASK_BL-006, ask_no: habi 321",NA,5 or 7 lines,18.6,6.3,"NS762, 773",Paper,"figure of lakSmI cakra , agastya","Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_345_asa_dp_no_0317_sodasa,ṣoḍaśa mahādāna nirūpaṇa,ṣoḍaśa mahādāna nirūpaṇa,Sanskrit,Newa,ASA Archives,"dp_no: 0317, cd_no: ASK_BL-006, ask_no: habi 322",NA,10 lines,34.8,13.5,NA,"Paper, coat of HARTALA on front side & back side",NA,NA,yes,no
ochs_000_000_346_asa_dp_no_0318_paJca,"paJca dhenu dāna , or ṣoḍaśī paJca dhenu mahādana go dāna *","paJca dhenu dāna , or ṣoḍaśī paJca dhenu mahādana go dāna *",Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0318, cd_no: ASK_BL-006, ask_no: habi 323",NA,7 lines,16.0,9.1,VS1977,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_347_asa_dp_no_0319_sodasi,ṣoḍaśī pūjā paddhati,ṣoḍaśī pūjā paddhati,Sanskrit,Devanagari,ASA Archives,"dp_no: 0319, cd_no: ASK_BL-006, ask_no: habi 324",NA,9 lines,25.8,10.5,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_348_asa_dp_no_0320_sanaiscaraya,śanaiścarayā śānti,śanaiścarayā śānti,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0320, cd_no: ASK_BL-006, ask_no: habi 325",NA,6 and 19 lines,18.5,8.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_349_asa_dp_no_0321_santika,śāntika jagya,śāntika jagya ( yajJa )** and others *,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0321, cd_no: ASK_BL-006, ask_no: habi 326",NA,8 lines,18.3,8.3,NA,"Paper, coat of HARTALA on front side & back side","figure of yantra , * a list of bali offering , vidhi , and mantra","Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_350_asa_dp_no_0322_anavrddhi,anāvṛddhi mahābali,"(1) anāvṛddhi mahābali , (2) sarpapraveśamṛta sarpapraveśaśānti mahābali",Sanskrit,Newa,ASA Archives,"dp_no: 0322, cd_no: ASK_BL-006, ask_no: habi 327",NA,9 lines,22.8,11.5,NSrase ·a· hasu nepŒle abde,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_351_asa_dp_no_0323_santi,śānti svasti yāyegu saphū,"śānti svasti yāyegu saphū ( karma kāṇḍa , hindu )",Newa,Newa,ASA Archives,"dp_no: 0323, cd_no: ASK_BL-006, ask_no: habi 328",NA,7 lines more or less,18.4,9.8,NA,"Paper, coat of HARTALA on back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_352_asa_dp_no_0324_saradiya,śāradīya paddhati kuloḍḍīśa tantroktā śrīmahātripūrasundarī devyārca,śāradīya paddhati kuloḍḍīśa tantroktā śrīmahātripūrasundarī devyārca( na ) vidhi,Sanskrit,Newa,ASA Archives,"dp_no: 0324, cd_no: ASK_BL-006, ask_no: habi 329",NA,6 lines,19.4,8.0,"NSrasa §ruti vivara,946","Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_353_asa_dp_no_0325_sirahuti,"śirāhuti vidhi , or śirāhoma yāye vidhi","śirāhuti vidhi , or śirāhoma yāye vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0325, cd_no: ASK_BL-006, ask_no: habi 330",NA,7 or 20 lines,,,NSŒkŒ§a muni ku–ja(870),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_354_asa_dp_no_0326_siva,śiva dīkṣā,śiva dīkṣā,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0326, cd_no: ASK_BL-006, ask_no: habi 331",NA,9 or 25 lines,20.0,9.5,NA,Paper*,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_355_asa_dp_no_0327_siva,śiva pratiṣṭhā vidhi and others,śiva pratiṣṭhā vidhi and others,Sanskrit,Newa,ASA Archives,"dp_no: 0327, cd_no: ASK_BL-006, ask_no: habi 332",NA,"18, 19 and 26 lines (irregular), complete.",24.7,8.8,NA,"Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_356_asa_dp_no_0328_guhyakali,guhyakālī mata śivāvalī,guhyakālī mata śivāvalī,Sanskrit,Newa,ASA Archives,"dp_no: 0328, cd_no: ASK_BL-006, ask_no: habi 333",NA,6 lines,13.0,7.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_357_asa_dp_no_0329_,,( guhyakālī mata ) śivāvali vidhi,Sanskrit,Newa,ASA Archives,"dp_no: 0329, cd_no: ASK_BL-006, ask_no: habi 334",NA,6 lines,18.5,8.0,NS848,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_358_asa_dp_no_0330_sraddha,śrāddha vidhi,śrāddha vidhi,Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0330, cd_no: ASK_BL-006, ask_no: habi 335",NA,7 or 10 lines,18.8,11.0,NS977,"Paper, coat of HARTALA on back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_359_asa_dp_no_0331_sadha,sādhā,sādhā ( śrāddhā ? ) vidhāna,Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0331, cd_no: ASK_BL-006, ask_no: habi 336",NA,5 lines,16.2,6.2,NS979,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_360_asa_dp_no_0332_title,title unknown,title unknown ( śrāddha vidhi ? ),Sanskrit,Newa,ASA Archives,"dp_no: 0332, cd_no: ASK_BL-006, ask_no: habi 337",NA,6 lines,29.0,6.9,NA,"Paper, coat of HARTALA on front side & back side",NA,Style: one eyelet,yes,no
ochs_000_000_361_asa_dp_no_0333_sraddha,śrāddha vidhi,śrāddha vidhi,Sanskrit-Bgl.,Bgl.,ASA Archives,"dp_no: 0333, cd_no: ASK_BL-006, ask_no: habi 338",NA,5 lines,18.4,6.7,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_362_asa_dp_no_0334_vedopari,vedopari brāhmaṇānāṃ vokanathe,"(1) vedopari brāhmaṇānāṃ vokanathe (?) śrāddha or brahmaṇānāṃ cūlikāgni yajJa vidhi , (2) bhārata sāvitrī",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0334, cd_no: ASK_BL-006, ask_no: habi 339",NA,6 lines,15.7,5.7,samvat sŒla kasa jura sŒhra(1)NS897(2),Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_363_asa_dp_no_0335_bodhidrumagre,bodhidrumāgre tila piṇḍa śrāddha vidhi,bodhidrumāgre tila piṇḍa śrāddha vidhi,Sanskrit,Devanagari,ASA Archives,"dp_no: 0335, cd_no: ASK_BL-006, ask_no: habi 340",NA,9 lines,11.5,8.5,VS1986,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_364_asa_dp_no_0336_sraddha,śrāddha vyavasthā,śrāddha vyavasthā (?),Sanskrit,Devanagari,ASA Archives,"dp_no: 0336, cd_no: ASK_BL-006, ask_no: habi 341",NA,6 lines,25.0,6.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_365_asa_dp_no_0337_title,title unknown,"title unknown ( pūja vidhi of śrāddha , śrā wā )",Sanskrit,Devanagari,ASA Archives,"dp_no: 0337, cd_no: ASK_BL-006, ask_no: habi 342",NA,6 lines,26.0,10.6,VS1951,Paper,NA,NA,yes,no
ochs_000_000_366_asa_dp_no_0338_sravani,śrāvaṇi karma kalaśārcana,śrāvaṇi karma kalaśārcana,Sanskrit,Newa,ASA Archives,"dp_no: 0338, cd_no: ASK_BL-006, ask_no: habi 343",NA,22-24 lines,13.0,29.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_367_asa_dp_no_0339_sravani,śrāvaṇī karmaṇi snāna vidhi,"(1) śrāvaṇī karmaṇi snāna vidhi , (2) unknown",Sanskrit,Newa,ASA Archives,"dp_no: 0339, cd_no: ASK_BL-006, ask_no: habi 344",NA,7 lines,18.0,8.3,NS802,"Paper, coat of HARTALA on back side",NA,Style: one eyelet,yes,no
ochs_000_000_368_asa_dp_no_0340_sravani,śrāvaṇī karma vidhi,"(1) śrāvaṇī karma vidhi , (2) pāda sthāpana vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0340, cd_no: ASK_BL-006, ask_no: habi 345",NA,7 lines(1)18 or 19 lines(2),19.9,8.5,NS823,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_369_asa_dp_no_0341_sravani,śrāvaṇī karma vidhi,"(1) śrāvaṇī karma vidhi , (2) śrāvaṇī kṛṣṇa pratipat karma pavitrārohaṇa vidhi , (3) putrikā jyāye vidhi , (4) śrīpaJcāgni bhaṭṭārakasya varṣa bandhana karma , (5) sarppa (?) saṃhitā daśakaṇḍikā ( or sāmavedasya sarppa saṃhitā kaṇḍikādaśa , (6) dhānyarāsi vaiśrāvaṇa pūjā vidhi , (7) navarātra svāna (?) vidhāna ( or - svāna ? nitya karma )",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0341, cd_no: ASK_BL-006, ask_no: habi 346",NA,9-15 lines,14.8,6.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_370_asa_dp_no_0342_bhavisyottare,bhaviṣyottare haritālikā vrata kathā,"(1) bhaviṣyottare haritālikā vrata kathā , (2) haritālikodyāpana vidhi",Sanskrit,Devanagari,ASA Archives,"dp_no: 0342, cd_no: ASK_BL-006, ask_no: habi 347",NA,7 lines,23.0,9.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_371_asa_dp_no_0343_hindu,hindu pūjā vidhi,hindu pūjā vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0343, cd_no: ASK_BL-006, ask_no: habi 348",NA,5 lines,18.4,6.8,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_372_asa_dp_no_0344_unknown,unknown,"(1) unknown ( siddhivināyaka ṣoḍaśa upacāra pūjā ) , (2) unknown ( soma pūjā ? not written completely )",Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0344, cd_no: ASK_BL-006, ask_no: habi 349",NA,5 lines,16.5,7.5,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_373_asa_dp_no_0345_homa,homa pratiṣṭhā *,"(1) homa pratiṣṭhā * , (2) śrāddha vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0345, cd_no: ASK_BL-006, ask_no: habi 350",NA,15-18 lines,16.3,7.5,NA,Paper,figure of 2 yantras * begi: oM namo brahmaNe||Civa dina homa prathiSThA||,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_374_asa_dp_no_0346_katyayanokta,kātyāyanokta kuśāṇḍi karma,kātyāyanokta kuśāṇḍi karma,Sanskrit,Newa,ASA Archives,"dp_no: 0346, cd_no: ASK_BL-006, ask_no: habi 351",NA,7 lines,20.5,9.0,NS841,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_375_asa_dp_no_0347_homa,homa vidhi,homa vidhi,Sanskrit,Devanagari,ASA Archives,"dp_no: 0347, cd_no: ASK_BL-006, ask_no: habi 352",NA,6 lines,18.3,7.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_376_asa_dp_no_0348_trikona,trikoṇa pūjā,"(1) trikoṇa pūjā , (2) puṣpāJjali mantra",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0348, cd_no: ASK_BL-006, ask_no: habi 353",NA,6 lines,15.7,6.3,NS788,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_377_asa_dp_no_0349_title,title unknown,title unknown ( tripurasundarī ),Sanskrit,Newa-Devanagari,ASA Archives,"dp_no: 0349, cd_no: ASK_BL-006, ask_no: habi 354",NA,6-8 lines,22.0,8.4,NA,"Paper, coat of HARTALA on back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_378_asa_dp_no_0350_sritripurasundari,śrītripurasundarī karmārcana vidhi and others *,śrītripurasundarī karmārcana vidhi and others *,Newa,Newa,ASA Archives,"dp_no: 0350, cd_no: ASK_BL-006, ask_no: habi 355",NA,8 lines,25.8,10.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_379_asa_dp_no_0351_sri,śrī tripurasundarī karmārcana,śrī tripurasundarī karmārcana,Newa,Newa,ASA Archives,"dp_no: 0351, cd_no: ASK_BL-006, ask_no: habi 356",NA,5 lines,17.0,6.5,NA,"Paper, coat of HARTALA on front side",figure of deity,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_380_asa_dp_no_0352_tripurasundari,tripurasundarī pūjā vidhi,tripurasundarī pūjā vidhi (?),Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0352, cd_no: ASK_BL-006, ask_no: habi 357",NA,6 lines,21.5,8.0,NA,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_381_asa_dp_no_0353_tripurasundari,tripurasundarī pūjā vidhi,"(1) tripurasundarī pūjā vidhi , (2) guhyakālī stotra , (3) paJcamī stava rāja ( rudra yāmale )",Sanskrit,Newa,ASA Archives,"dp_no: 0353, cd_no: ASK_BL-006, ask_no: habi 358",NA,11 lines,22.2,9.5,NS891,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_382_asa_dp_no_0354_mahatripurasundari,mahātripurasundarī devyāḥ saṃkṣepa pūjā paddhati *,mahātripurasundarī devyāḥ saṃkṣepa pūjā paddhati *,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0354, cd_no: ASK_BL-006, ask_no: habi 359",NA,10 lines,22.0,10.5,NS782,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_383_asa_dp_no_0355_trisandhya,trisandhyā vidhi,trisandhyā vidhi,Sanskrit-Newa,Newa-Devanagari,ASA Archives,"dp_no: 0355, cd_no: ASK_BL-006, ask_no: habi 360",NA,4 or 6 lines,13.5,7.3,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_384_asa_dp_no_0356_srirudrayamale,"śrīrudrayāmale devī īśvara saṃvāde trailokya mohana nāma kavaca , and others *","śrīrudrayāmale devī īśvara saṃvāde trailokya mohana nāma kavaca , and others *",Newa,Newa,ASA Archives,"dp_no: 0356, cd_no: ASK_BL-006, ask_no: habi 361",NA,5 or 6 lines,22.7,9.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_385_asa_dp_no_0357_desavali,deśavali vidhi,deśavali vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0357, cd_no: ASK_BL-006, ask_no: habi 362",NA,7/1?,32,9.7,NS818,Paper,NA,NA,yes,no
ochs_000_000_386_asa_dp_no_0358_nityarcana,nityārcana pūjā vidhi saphū,nityārcana pūjā vidhi saphū,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0358, cd_no: ASK_BL-006, ask_no: habi 363",NA,8,18.5,8.9,NS906,"Paper, coat of HARTALA",figure ?,NA,yes,no
ochs_000_000_387_asa_dp_no_0359_pascima,paścima jyeṣṭhā jyeṣṭhāmnāya aṣṭaviṃśati karmārcana,"(1) paścima jyeṣṭhā jyeṣṭhāmnāya aṣṭaviṃśati karmārcana , (2) dhakini dute vidhāna",Newa,Newa,ASA Archives,"dp_no: 0359, cd_no: ASK_BL-007, ask_no: habi 364",NA,20 or 22 lines,28.0,11.3,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_388_asa_dp_no_0360_,,(2) vaidika pūjā vidhi ( hindu ),Sanskrit,Devanagari,ASA Archives,"dp_no: 0360, cd_no: ASK_BL-007, ask_no: habi 365",NA,9 or 10 lines,28.0,12.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_389_asa_dp_no_0361_pujaya,pūjāyā thāpake citra,pūjāyā thāpake citra,Newa,Newa,ASA Archives,"dp_no: 0361, cd_no: ASK_BL-007, ask_no: habi 366",NA,5,26.2,13,NA,"Paper, coat of HARTALA",thApake citra 15?,NA,yes,no
ochs_000_000_390_asa_dp_no_0362_laksmi,lakṣmī pūjā vidhi,"(1) lakṣmī pūjā vidhi , (2) siddhilakṣmī nevārī stotra , (3) sankalpa vākya",Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0362, cd_no: ASK_BL-007, ask_no: habi 367",NA,"13 lines, 6 lines(3)","(1)43.0,(2)21.7,(3)","(1)24.0,(2)13.0,",NA,Paper,NA,NA,yes,no
ochs_000_000_391_asa_dp_no_0363_sanskara,sanskāra karmakāṇḍa vidhi saphū,sanskāra karmakāṇḍa vidhi saphū,Sanskrit-Newa,Newa-Devanagari,ASA Archives,"dp_no: 0363, cd_no: ASK_BL-007, ask_no: habi 368",NA,24/8,24,8,"NS799,892?","Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
